cleaned_text,sentiment_score,sentiment_label
bengkel benerin motor kena bensin etanol,-1,negatif
etanol murni teknis relatif mahal proses penyulingan bioetanol bahan bakar massal limbah tebu molases lokal harganya kompetitif subsidi pemerintah campuran e5e10 pertamina bertujuan kurangi,0,netral
harga etanol murni indonesia bervariasi tergantung jenis kemurnian bioetanol bahan bakar oktober 2025 9263 16000liter etanol teknis pasar online 20000 37000liter harga berubah sumber resmi tokopedia situs,0,netral
bensinetanol kandungan airnya misah gitu etanol misah bensin bensin etanolnya ditaro ruangan terbuka etanol sifat menyerap dibiarin diluar tutupnya rapet,-1,negatif
bensin etanol kontol motorku brebet brebet taek,-1,negatif
eddy bioetanol eksperimen strategi jangka kemandirian energi infrastruktur tergantung impor etanol,0,netral
peningkatan campuran buruburu produksi bioetanol nasional terbatas teknis pembuktian ilmiah terukur,0,netral
anggota komisi bercampur etanol aman publik tegaskan kandungan tersembunyi pertamax green pertamina transparan campurannya bioetanol,0,netral
ralat sorry pertamax green maksudnya,0,netral
karna pertamax green jarang belinya harganya kisaran rp13000liter rata² masyarakat belinya pertalite kalo daerah pertamina ngga pertamina green bang serius wajar kalo dengar komplain,-1,negatif
vikositas arti kecepatan cairan ambil sampel bensinetanoldan masukkan kedalam bejana kaca kimia meterambil gulimimis masukkan ukur kecepatannya stopwatch kecepatannya beda polarnya,-1,negatif
pertamax green diluncurkan 2023 surabaya diterima masyarakat gejolak keluhan massal signifikan kandungan rendah minim dampak performa kendaraan infrastruktur fokusnya manfaat ramah lingkungan emisi,0,netral
indonesia dijual 2023 pertamax green kandungan etanol sblm kuota etanol masyarakat bergejolak pertamax green denger komplain pengguna pertamax green,-1,negatif
butuh ngisi biar bersih bekas pertamax tarikan setara pertamax green,-1,negatif
etanol memiliki polar airketika bensin etanol etanol menyatu bensin tidakkira² gitu,-1,negatif
sekasar pertamax green knalpot nembak2 kadang pake pertamax standargreen suka,-1,negatif
banget beli barusan tarikan enteng efek ganti beli beda olinya kecampur sisaan pertamax green,-1,negatif
udah pake pertamax green ijul,0,netral
salam kenal ngerjain bioetanol kemarin nemu artikel merujuknya artikel proses editor,0,netral
hasil dyno test pabrikan shell pertamina vivo hasilkan tenaga gede youtube molano urutannya vpower pertamax green revo pertamax green pertamina kandungan etanolnya,1,positif
mesin terbaru royal enfield minum bensin etanol persen,0,netral
mazda pake super kecuali mudik terpaksa kuisi pertamax green tarikannya langsung kopong,-1,negatif
gunanya ditambah etanol namanya pertamax green mengurangi emisi karbon ketergantungan bahan bakar fosil penambahan etanol,-1,negatif
pertamax green pertalite dikasih etanol biar,-1,negatif
mulut bensin etanol,-1,negatif
paham maksud videonya klarifikasi bensin etanol buruk kayaknya pengetahuan etanol menyerap berikatan udara,-1,negatif
pake pertamax green better than sblmnya pake kendala,0,netral
mean pertamax green merah heheh,0,netral
motor brebet gara2 bensin etanol brengsek,-1,negatif
pertamax turbo pindah pertamax green harapan ajaa motor mesinnya kerasa berat tarikannya jelek tenaga kaya hilang,-1,negatif
maksudnya pertamax green greennya pake bioetanol,0,netral
disinyalir kegagalan tempo akibat ketiadaan rantai pasok bioetanol nasional terintegrasi dominasi importir trader migas kebijakan energi lemahnya mandat bumn agro rajawali ptpn enero ketidakselarasan kemen esdm kemenperin bumn,0,netral
pelajaran kegagalan biopertamax 2006 presiden terkait bumn mendesain ulang ekosistem bioetanol nasional berdaulat suksesnya program e5e10 2025,0,netral
sobat essentials indonesia memiliki rencana penerapan kebijakan campuran biodiesel campuran bioetanol langkah diklaim upaya pengurangan ketergantungan impor bahan bakar fosil,0,netral
haha senang bantu bioetanol,1,positif
balongan kapasitas 125150 kbpd rdmp 2022 cilacap hasilkan bersih plbc 2019 rdmp balikpapan 2025 rfcc ubah residu bensin oktan cilacap dumai siapkan jalur hijau pertamax green plaju kasim dukung,0,netral
pertamax green terobosan green energy patut diacungi jempol,1,positif
daerah terpencil harap pertamax green nemu antri udah bersyukur,1,positif
maksudku bensin jenisnya pertamax green merahh jenis pertamax pertamax turbo pertamax green gituu,0,netral
motorku cuyy pake kerang karna kemarin bensin kosong swasta merah langsung susah starter motorku sampe keknya lite know sblmnya pake pertamax green aman,-1,negatif
pertamax green maksudnya,0,netral
ampun pertamax green jual daerahku kebanyakan pertamax turbo,-1,negatif
ngetest keampuhan bensin etanol,-1,negatif
pertamax green ramah lingkungan mesin bagus pertamax turbo siih membuktikan kadang pertamax green jarang pasaran indonesia produknya memadai indonesia,1,positif
pertamax green,0,netral
kilang cilacap dumai green refinery kilang pertamina internasional dorong produksi pertamax green renewable diesel energi bersih udara lega,0,netral
coba pertamax green irit tarikan berat kemarin terlanjur full tank anjir,-1,negatif
pertamax 12100 shell super 12680 pertamax green 13000 shell vpower 13260 pertamax turbo 13100 shell vpower nitro 13480 beda harganya uang 23rb full tank dapet berkualitas,0,netral
