cleaned_text,sentiment_score,sentiment_label
bengkel benerin motor kena bensin etanol yah,-1,negatif
etanol murni lab teknis relatif mahal proses penyulingan bioetanol bahan bakar massal limbah tebu molases lokal harganya kompetitif subsidi pemerintah campuran e5e10 pertamina bertujuan kurangi,0,netral
harga etanol murni indonesia bervariasi tergantung jenis kemurnian bioetanol bahan bakar oktober 2025 9263 16000liter etanol teknis pasar online 20000 37000liter harga berubah cek sumber resmi tokopedia situs,0,netral
mah bensinetanol mah kandungan airnya misah gitu etanol misah bensin bensin etanolnya ditaro ruangan terbuka etanol sifat menyerap air dibiarin diluar tutupnya rapet,-1,negatif
bensin etanol kontol motorku brebet brebet taek,-1,negatif
eddy bioetanol eksperimen strategi jangka kemandirian energi infrastruktur tergantung impor etanol,0,netral
peningkatan campuran buruburu produksi bioetanol nasional terbatas uji teknis pembuktian ilmiah terukur,0,netral
anggota komisi vii dpr bbm bercampur etanol aman publik tegaskan kandungan tersembunyi pertamax green pertamina transparan campurannya bioetanol,0,netral
ralat sorry pertamax green maksudnya,0,netral
karna pertamax green jarang belinya harganya kisaran rp13000liter rata² masyarakat belinya pertalite kalo daerah pertamina nya ngga pertamina green nya bang serius wajar kalo blm dengar komplain blm,-1,negatif
oke uji vikositas arti kecepatan cairan ambil sampel bensinetanoldan air masukkan kedalam bejana kaca kimia meterambil gulimimis masukkan ukur kecepatannya stopwatch kecepatannya beda polarnya,0,netral
pertamax green diluncurkan 2023 surabaya diterima masyarakat gejolak keluhan massal signifikan kandungan rendah minim dampak performa kendaraan infrastruktur fokusnya manfaat ramah lingkungan ron emisi,0,netral
indonesia udh dijual thn 2023 pertamax green dgn kandungan etanol sblm isu kuota etanol masyarakat bergejolak dgn pertamax green sih blm denger komplain pengguna pertamax green sih,-1,negatif
isi butuh ngisi biar bersih bekas pertamax tarikan setara pertamax green,-1,negatif
etanol memiliki polar airketika bensin etanol air etanol menyatu air bensin tidakkira² gitu dah,-1,negatif
gak sekasar pertamax green sih imo knalpot gak nembak2 kadang klo pake pertamax standargreen suka dar der dor,0,netral
banget beli barusan tarikan enteng sih efek ganti oli beli beda olinya kecampur sisaan pertamax green,-1,negatif
udah pake pertamax green mas ijul,0,netral
salam kenal irv ngerjain bioetanol udh kemarin nemu artikel irv merujuknya artikel proses editor,0,netral
hasil uji dyno test pabrikan shell pertamina vivo ron hasilkan tenaga gede cek youtube molano urutannya vpower pertamax green revo btw pertamax green bbm pertamina kandungan etanolnya,0,netral
mesin terbaru royal enfield minum bensin etanol persen,0,netral
mazda pake super kecuali mudik terpaksa kuisi pertamax green tarikannya langsung kopong,-1,negatif
gunanya ditambah etanol namanya pertamax green mengurangi emisi karbon ketergantungan bahan bakar fosil penambahan etanol,-1,negatif
pertamax green pertalite dikasih etanol biar ron nya,-1,negatif
mulut bau bensin etanol,-1,negatif
paham maksud videonya klarifikasi bensin etanol buruk kayaknya pengetahuan etanol menyerap berikatan dgn air uap air udara,-1,negatif
pake pertamax green aja kak better than sblmnya pake aja blm kendala,0,netral
mean pertamax green pom merah kak heheh,0,netral
motor brebet gara2 bensin etanol brengsek,-1,negatif
pertamax turbo pindah pertamax green harapan ajaa motor mesinnya kerasa berat tarikannya jelek bgt tenaga kaya hilang,-1,negatif
maksudnya pertamax green greennya tuh pake bioetanol,0,netral
disinyalir kegagalan tempo akibat ketiadaan rantai pasok bioetanol nasional terintegrasi dominasi importir trader migas dlm kebijakan energi lemahnya mandat bumn agro rajawali ptpn enero sgn ketidakselarasan kemen esdm kemenperin bumn,0,netral
pelajaran kegagalan biopertamax 2006 presiden terkait bumn mendesain ulang ekosistem bioetanol nasional berdaulat utk suksesnya program e5e10 2025,0,netral
